,Unnamed: 0,_fivetran_id,date,property,_fivetran_synced,active_users,add_to_carts,checkouts,ecommerce_purchases,engaged_sessions,gross_purchase_revenue,new_users,sessions,total_purchasers,total_users
30,30,EZQHPHduXoDpT5nfWBPaFlaJ828=,2023-09-27,properties/309559498,2023-11-17 15:54:01.262000 UTC,740,63,4,12,886,3305.9086867974347,729,527,5,910
31,31,HUV06LUeMpUZFUvkp9H8Gk01bJk=,2023-07-11,properties/319751093,2023-11-17 15:54:20.388000 UTC,2145,217,48,21,3839,2107.9000361457847,2203,4987,9,2286
32,32,eFKROqb4p3UwHvvoDBi+W0D3B58=,2023-07-12,properties/319751093,2023-11-17 15:54:20.391000 UTC,1675,246,22,25,2382,1980.8854601213395,1481,3874,11,2523
33,33,klpMoer4wn6rRuVBDhCwrdEnQi8=,2023-07-13,properties/319751093,2023-11-17 15:54:20.388000 UTC,2541,316,26,15,4506,2487.307340881981,1891,5108,9,2588
34,34,3V5CEyUPbHLi1mwi7S/Weri47Rw=,2023-07-22,properties/319751093,2023-11-17 15:54:14.162000 UTC,3305,262,59,16,3765,3135.6346909664107,1710,3860,9,3995
35,35,jkNBqY27/pTOGu9RemErAq9/jnk=,2023-07-29,properties/319751093,2023-11-17 15:54:14.176000 UTC,3022,237,53,18,3286,2677.7486258625513,2166,3252,15,2540
36,36,K+9m3oWvr7F4YeMQq5TmNftpEfU=,2023-10-14,properties/319751093,2023-11-17 15:54:00.830000 UTC,3407,359,18,20,3692,1926.7452674397282,2432,4247,12,2867
37,37,wfqdB9+sSuRfMawT2qtQ/a4XWxk=,2023-07-10,properties/319751093,2023-11-17 15:54:20.385000 UTC,3036,289,47,18,3014,5032.115448027285,2140,3830,13,3339
38,38,H/A1SSZTT3LbO8vcaxz7yHXOsmo=,2023-07-16,properties/319751093,2023-11-17 15:54:20.381000 UTC,2859,349,44,18,2889,3302.9571543080147,1741,3850,13,3014
39,39,3ZAKMz2ty/Gm8wGOaLxSG9SQHwk=,2023-09-02,properties/319751093,2023-11-17 15:54:09.390000 UTC,3020,286,25,21,3419,3087.7334327865065,1893,4104,14,3065
40,40,F6eWccwmnRoIw1wGlpRVm+yGgwg=,2023-10-06,properties/319751093,2023-11-17 15:54:00.856000 UTC,1920,256,56,26,2755,2506.8897241100763,1276,3381,18,2319
41,41,MsJe7WDdoZlUnWcQnuSfN+mk380=,2023-07-07,properties/319751093,2023-11-17 15:54:20.392000 UTC,1957,255,19,32,2707,3475.3071617811997,1099,3170,11,1521
42,42,sVdtLC+FUYsVPIEfLU6yA6uARrU=,2023-07-21,properties/319751093,2023-11-17 15:54:14.171000 UTC,4399,242,40,22,2719,3853.729764183403,1647,4250,18,2919
43,43,Qq41tX/UN8sXU00xpbScXZI86tE=,2023-07-28,properties/319751093,2023-11-17 15:54:14.190000 UTC,1372,215,15,38,2177,3536.471252372876,1573,3251,14,2291
44,44,dRxqL1xjkPmng0UEQwMWCxgiTdI=,2023-08-07,properties/319751093,2023-11-17 15:54:14.185000 UTC,1762,445,34,29,3371,3035.3040852794675,1504,3859,13,3311
45,45,p6Tb0WkIzMn5aL5g29gcCljC6D8=,2023-09-06,properties/319751093,2023-11-17 15:54:09.391000 UTC,2072,325,45,27,2621,2912.4265493758908,1927,3360,15,2710
46,46,2Evkf36cYUN56t+K/9/QMwG5W98=,2023-09-07,properties/319751093,2023-11-17 15:54:09.389000 UTC,4094,415,70,17,3159,2414.3781397769276,2102,4198,14,3220
47,47,T2sUnlq0sZbuMzZSsFiMv4fHfM0=,2023-10-08,properties/319751093,2023-11-17 15:54:00.829000 UTC,2532,288,37,20,3103,2809.4834085091065,2586,4296,11,3961
48,48,rrNxcb3NI7usWAVedMcP6kJxqjs=,2023-07-14,properties/319751093,2023-11-17 15:54:20.382000 UTC,3730,210,69,32,3078,2115.695264897,2183,3679,18,4053
49,49,A7NwShFRyb3PF8TkF8EjYYfKexM=,2023-07-26,properties/319751093,2023-11-17 15:54:14.166000 UTC,3757,290,16,24,2507,2370.2263353419144,2502,2869,15,2884
50,50,udWOhvBeESSouU7TnfhDlFtyt+k=,2023-07-27,properties/319751093,2023-11-17 15:54:14.187000 UTC,3845,243,44,38,3011,3532.9467439159985,1781,3245,12,2878
51,51,QA0snbDwM5Dd202ZuglDzeWOF84=,2023-08-03,properties/319751093,2023-11-17 15:54:14.185000 UTC,2723,244,34,21,2586,2460.141250473605,1397,3442,13,2339
52,52,3aec8G3xjni792shvDh/oulZ2CE=,2023-08-24,properties/319751093,2023-11-17 15:54:09.394000 UTC,2515,222,20,23,2929,3363.5485834090673,1470,3205,14,2620
53,53,eBlfyKrYVSdcG7J6sh28EUbwIB4=,2023-07-08,properties/319751093,2023-11-17 15:54:20.388000 UTC,2836,314,43,30,3125,4448.083726650994,1569,3209,12,2346
54,54,v/XKyusFBKeGWnx5AdFjNdeBo5k=,2023-07-17,properties/319751093,2023-11-17 15:54:20.389000 UTC,2049,286,72,34,3266,2753.6689539036024,1561,3447,22,4054
55,55,BEnmuduXn7lbZ4p9Go3bobyyOPI=,2023-08-01,properties/319751093,2023-11-17 15:54:14.187000 UTC,3195,257,17,29,2671,4278.897961044305,1490,3503,16,3613
56,56,0b+IDXnlGnVnsS5tmLSCMeezt3U=,2023-08-04,properties/319751093,2023-11-17 15:54:14.188000 UTC,3194,205,27,29,3102,2013.8763417636833,1489,2351,18,1865
57,57,Pm2pXuuWoslCXTqf7J4HDQnRl9E=,2023-08-11,properties/319751093,2023-11-17 15:54:14.189000 UTC,2053,393,47,27,2462,4553.050201634482,1656,3614,19,2205
58,58,EffjzQzclPbCh4W8NZ9xZUyEjDE=,2023-08-20,properties/319751093,2023-11-17 15:54:09.390000 UTC,3682,286,26,31,4455,2666.5546809333664,2304,4539,15,4147
59,59,D9ip5QMtqRhZJljvwY38DKS6VsU=,2023-08-22,properties/319751093,2023-11-17 15:54:09.395000 UTC,1994,181,18,24,2457,2352.227887329219,1722,3498,23,2319
60,60,ufr4cy8DY/kqDypL2yWAblSJQew=,2023-08-29,properties/319751093,2023-11-17 15:54:09.395000 UTC,2313,271,26,31,2226,3843.171064940339,1533,3488,14,1997
61,61,xaUd0iDugKUOGdVrdPAUKI16KMs=,2023-09-01,properties/319751093,2023-11-17 15:54:09.393000 UTC,2732,259,24,31,3079,3409.7645507218313,1477,2491,16,2242
62,62,8ajbT/7GeSuxejC33AtukDEUAzw=,2023-10-13,properties/319751093,2023-11-17 15:54:00.853000 UTC,2569,319,41,25,2252,3613.7794202774967,1447,3660,21,2449
63,63,tloZMMynIKdm8MP6RRYg09iA0lA=,2023-07-23,properties/319751093,2023-11-17 15:54:14.186000 UTC,3070,331,18,30,3694,4069.7146960307837,1360,3366,20,2612
64,64,1STswEjBuJHyhiskHyT0Nl0yp18=,2023-07-25,properties/319751093,2023-11-17 15:54:14.204000 UTC,1350,195,14,25,2496,4272.340429895454,1249,3091,17,2392
65,65,xlkYBLlEyl9e44jLQoMvT/G+k/s=,2023-08-28,properties/319751093,2023-11-17 15:54:09.395000 UTC,1832,321,16,27,2036,3309.7177293297163,1421,2756,16,2285
66,66,BG4Vy6ZsgDy6TbxRtEeV5RdYBQE=,2023-09-05,properties/319751093,2023-11-17 15:54:09.396000 UTC,1266,249,22,36,2831,3040.5620797737997,1209,1926,18,2048
67,67,DHGWVc7q81+wfcE0u1CoLP3bgGw=,2023-10-07,properties/319751093,2023-11-17 15:54:00.851000 UTC,2716,335,25,34,3340,3379.183730665564,2115,3386,21,2969
68,68,/S1rHg0jwwyZzVvKpSzoiY2CtIE=,2023-07-04,properties/319751093,2023-11-17 15:54:20.389000 UTC,3020,281,40,37,3291,4133.122142882334,2004,3896,16,2972
69,69,d/TeifaM/SEXLg71TXMEKjWpSbI=,2023-07-09,properties/319751093,2023-11-17 15:54:20.389000 UTC,3921,313,72,28,3484,3253.490438736407,1932,3040,22,3052
70,70,YTs4qrm61+pj4fadbSMeXp5EaX0=,2023-07-31,properties/319751093,2023-11-17 15:54:14.177000 UTC,3604,405,19,24,2230,2985.1802797475807,2191,2831,17,2811
71,71,gQ0XGEBo2v2AEXL8GepMqN9chD0=,2023-08-17,properties/319751093,2023-11-17 15:54:14.205000 UTC,2525,247,32,31,2657,3799.480637976051,1399,2657,26,1923
72,72,QB+tN+TYjbIhbuyDHAfvfDpNx5E=,2023-09-12,properties/319751093,2023-11-17 15:54:09.392000 UTC,3000,230,24,33,2816,2766.702174692919,1738,3919,18,3524
73,73,yDsAKZxrcJSu5Y9iCi8A3PD7Blk=,2023-07-06,properties/319751093,2023-11-17 15:54:20.391000 UTC,2707,298,34,33,3196,3600.7749968133003,1378,4395,20,2784
74,74,muhvrjPCikJOyc/TIaXx169kBRI=,2023-07-18,properties/319751093,2023-11-17 15:54:20.390000 UTC,3497,263,36,37,2958,3737.568708976119,2214,3428,13,3167
75,75,b6Tiibx//OHZqcKC5LB1IOL3LbA=,2023-07-19,properties/319751093,2023-11-17 15:54:20.389000 UTC,3129,221,33,27,3670,4080.187215976972,1714,2851,27,2852
76,76,nVbPRJAguLzSfglBBh9ZGhLeI6o=,2023-07-24,properties/319751093,2023-11-17 15:54:14.184000 UTC,1748,254,46,32,3198,3722.0340135737756,1807,3632,22,2661
77,77,qXMyVa+iCg+YGTXiiEszJAE6qJE=,2023-08-18,properties/319751093,2023-11-17 15:54:14.164000 UTC,3248,308,33,26,4698,2953.7245166910175,1796,3416,20,3287
78,78,3othBISeKK6QXlq+q1B7qc6Qe4o=,2023-09-04,properties/319751093,2023-11-17 15:54:09.394000 UTC,2907,234,38,34,2943,5473.138524216036,1120,3082,13,2444
79,79,2QUSJo+r2tz9X9MRCkezzpQZ8uw=,2023-09-13,properties/319751093,2023-11-17 15:54:09.391000 UTC,2320,238,37,29,3303,4244.85446077556,1797,3717,24,2823
80,80,DuDr1lk2JuVRq2s83+daIF6/QTo=,2023-09-14,properties/319751093,2023-11-17 15:54:09.393000 UTC,2034,193,17,35,2876,3358.799916731704,1751,3252,14,2710
81,81,xJyqOnE56yTNPPpDcyGvNRrcfBE=,2023-09-28,properties/319751093,2023-11-17 15:54:00.858000 UTC,2365,450,24,34,3069,3791.7428553799537,1513,3767,19,3028
82,82,dGsNU1QNWhR2dbLegc0PBTmIgxw=,2023-10-04,properties/319751093,2023-11-17 15:54:00.831000 UTC,4801,311,46,48,3677,4150.699217734307,1569,4693,15,2990
83,83,TNn0uzFEvQ1JzQvpAL5ZL2/3nQc=,2023-08-02,properties/319751093,2023-11-17 15:54:14.160000 UTC,3616,269,20,31,3353,5300.609106061773,2561,4102,16,4171
84,84,IKtsnelt2leFkWs780Mfr5yhvCY=,2023-08-06,properties/319751093,2023-11-17 15:54:14.168000 UTC,2576,351,42,36,2873,4350.23542677478,2161,3453,22,3760
85,85,WW6WGZ5awVpYKDIDlShbXqnI4Vc=,2023-08-21,properties/319751093,2023-11-17 15:54:09.393000 UTC,2585,268,45,27,2562,3663.458271823304,1829,2866,27,3243
86,86,3sS5n/tjM9oVMdFHJxRd1IM+Uj8=,2023-08-31,properties/319751093,2023-11-17 15:54:09.394000 UTC,1908,364,35,27,3361,3255.4536698094457,1760,2212,20,2645
87,87,xlWYBxDziRCU5Mf6VKSYUIYTVkM=,2023-09-29,properties/319751093,2023-11-17 15:54:00.860000 UTC,2544,400,53,40,3528,6984.005499337713,1685,2908,24,2885
88,88,PjgRI0DcSMyYZh5TywKQdxp4m1s=,2023-10-03,properties/319751093,2023-11-17 15:54:00.843000 UTC,2909,413,50,42,4475,5647.356457329539,1830,3806,18,3172
89,89,pt8wqRIppIxHjpRG7Jbwuu4gjHI=,2023-10-11,properties/319751093,2023-11-17 15:54:00.849000 UTC,2237,382,46,40,3271,3984.531290480955,2006,4632,21,3142
90,90,2VlQutHsOhmRxHzhqmhw1jymUYc=,2023-10-17,properties/319751093,2023-11-17 15:54:00.857000 UTC,2911,422,50,41,3674,3730.4506997638987,1354,4594,18,2466
91,91,XoNRN8ciGpTdEUC+C1Nq4Ldhyzo=,2023-07-15,properties/319751093,2023-11-17 15:54:20.380000 UTC,3257,298,25,31,4293,3467.3371875403823,2100,5058,23,3393
92,92,UXDbHzGV4qNvxI1e6N7Yu0TkdsE=,2023-08-14,properties/319751093,2023-11-17 15:54:14.169000 UTC,2369,260,18,31,3261,4518.496791085351,1982,4542,23,2568
93,93,mw1XzH8YbRByVbHdY+mrHOoS274=,2023-08-15,properties/319751093,2023-11-17 15:54:14.203000 UTC,3209,240,35,31,2706,3594.7713720650786,2005,3061,21,2749
94,94,2AanvQVPejuPC/4XhfZSVi8uEuw=,2023-08-30,properties/319751093,2023-11-17 15:54:09.388000 UTC,3052,351,40,24,3186,4673.777156743378,1499,4288,20,2492
95,95,Don8piKmnzd8a7NfCmDEpcx4DBs=,2023-10-02,properties/319751093,2023-11-17 15:54:00.845000 UTC,2387,316,33,25,3856,4617.573178466392,2323,4618,24,4105
96,96,GYNhOJvW+lE9o6d7HQQTRhSXoSM=,2023-08-05,properties/319751093,2023-11-17 15:54:14.139000 UTC,3475,324,33,44,3142,3955.9929115271398,1515,4706,28,2863
97,97,+uPESGPstxRXdNRINqPkCyW1IOE=,2023-09-11,properties/319751093,2023-11-17 15:54:09.396000 UTC,2097,218,26,41,2394,2851.7538515286687,1242,1898,20,2917
98,98,j2xKqoFHCcJ/6QK0w+w5xODCb58=,2023-08-16,properties/319751093,2023-11-17 15:54:14.128000 UTC,2704,261,31,41,2922,4121.32969785771,2319,3901,29,3452
99,99,BH1U7jrOaBTYoII9jKNw053/gAo=,2023-08-23,properties/319751093,2023-11-17 15:54:09.392000 UTC,2277,209,26,38,3516,3469.9732429679684,2063,3188,19,3734
100,100,xlaIvP2mbUlKeBdtg+2E5KbCpdI=,2023-08-27,properties/319751093,2023-11-17 15:54:09.391000 UTC,2749,353,35,36,2816,3028.315520955722,1976,3075,22,2645
101,101,YcyA6CyB+NCLhYdvPk1i3AFLLmY=,2023-10-05,properties/319751093,2023-11-17 15:54:00.855000 UTC,2613,271,49,41,3345,4354.953889908954,1606,3625,30,3350
102,102,9eJJkue7mdByTXMn4B+PyV2xAxI=,2023-10-15,properties/319751093,2023-11-17 15:54:00.811000 UTC,4040,552,62,31,3887,4434.303832125445,2431,4007,16,4471
103,103,/gFux/bpw4Pt4nKOHdy3NYL6qLI=,2023-07-05,properties/319751093,2023-11-17 15:54:20.382000 UTC,3976,287,27,40,3344,5149.621233987091,2025,4581,28,4772
104,104,c2ts20od69kxQ6RkIBO3dtNytgQ=,2023-08-19,properties/319751093,2023-11-17 15:54:16.123000 UTC,2754,432,49,39,3914,6214.069516163743,2907,4340,33,2868
105,105,qkoS/0J1JkQOGd01q7QdHz9tf8s=,2023-08-26,properties/319751093,2023-11-17 15:54:09.389000 UTC,4286,458,65,49,2984,5135.03164914946,1994,3627,29,3501
106,106,ffBz7iA2C7wM944gHFUPRdRWtqU=,2023-09-03,properties/319751093,2023-11-17 15:54:09.392000 UTC,2057,291,42,46,2897,4233.907667317109,1823,3127,20,2453
107,107,qIm5BXLrHlnYP3J/Ifcm7+W+MGY=,2023-09-18,properties/319751093,2023-11-17 15:54:11.691000 UTC,3308,312,60,35,3136,4534.806154546979,1475,4113,34,3716
108,108,EZQHPHduXoDpT5nfWBPaFlaJ828=,2023-09-27,properties/319751093,2023-11-17 15:54:00.848000 UTC,2872,467,25,32,5001,5110.718511820343,1980,4058,22,3144
109,109,10R8/5ywIXPxcJtv7RGHh7uRzdM=,2023-09-20,properties/319751093,2023-11-17 15:54:00.844000 UTC,2808,309,66,32,3897,4968.988759209982,1916,3313,29,2496
110,110,M9XkRFhhJcwsvIB/xhgz930az7I=,2023-09-22,properties/319751093,2023-11-17 15:54:00.805000 UTC,6463,410,53,47,5069,7208.1366112507485,2066,6037,32,3484
111,111,0s/sOLcTKxsqiGbKdVh57Y1Pk1E=,2023-10-18,properties/319751093,2023-11-17 15:54:02.623000 UTC,2816,447,52,62,3160,3681.516389533394,1727,3252,23,3902
112,112,1l2sxehqNdMYk/5NbruPqjmDBzI=,2023-07-20,properties/319751093,2023-11-17 15:54:22.715000 UTC,1954,346,13,45,2680,6278.0980399610835,1872,2904,28,2299
113,113,B8wYq8m2HZWt1xtE9/w/HbZPrwQ=,2023-09-23,properties/319751093,2023-11-17 15:54:00.804000 UTC,4978,504,114,43,4481,4890.6105214039335,2986,5961,34,4439
114,114,wpygdSqVmSvcG5tlTaYD4p5HojM=,2023-10-12,properties/319751093,2023-11-17 15:54:00.847000 UTC,2274,375,27,35,3366,3401.1067322099398,1825,2740,32,3613
115,115,24nxYUG0de7MJhNHM/ZclRWvicw=,2023-10-16,properties/319751093,2023-11-17 15:54:00.841000 UTC,3248,468,102,49,4191,4504.863036942559,1461,5221,35,2947
116,116,vN0+MU0vPJDLSyLCW5Y6KX6M7uE=,2023-09-09,properties/319751093,2023-11-17 15:54:09.388000 UTC,3482,488,46,47,3779,5031.03848175479,2075,3371,28,3475
117,117,LZuvoZmYxd0EMo8IbTSzW6WN+vs=,2023-09-16,properties/319751093,2023-11-17 15:54:09.385000 UTC,3621,425,33,53,3201,3791.818292346805,1697,6061,23,4013
118,118,MxC9XG7LPBFIW7lCThk8VC1Tsuc=,2023-08-12,properties/319751093,2023-11-17 15:54:14.140000 UTC,2896,479,30,51,2967,5731.924207534973,1761,3834,33,3074
119,119,d69s7bGKs4nCOilA99S8rKr+dOo=,2023-09-24,properties/319751093,2023-11-17 15:54:00.812000 UTC,4384,580,57,36,4453,4983.525547265853,2416,3637,28,3212
120,120,PpGz2YIy2SI0v6LC0dlnEQY6JNM=,2023-07-03,properties/319751093,2023-11-17 15:54:20.381000 UTC,4991,383,45,54,5179,3969.9471935974448,2785,6752,28,3449
121,121,9vKGlZqeyKdWLWStwqkWhdx5t9E=,2023-09-08,properties/319751093,2023-11-17 15:54:09.390000 UTC,2939,624,92,61,4441,6969.294533762106,2073,4343,30,3400
122,122,fxMWhSn9zgSArSL8NSnQnygSF34=,2023-09-30,properties/319751093,2023-11-17 15:54:00.846000 UTC,2946,502,28,45,4842,7148.603933045807,1957,3971,31,2273
123,123,8GcjEp+zFrgeTtbaXyPJ/fmtQ+s=,2023-07-30,properties/319751093,2023-11-17 15:54:14.173000 UTC,2364,391,26,52,3412,5190.366071716145,2122,4347,36,1973
124,124,+KKoj0AA4zdjPQ6gTscuL9EUjQo=,2023-09-21,properties/319751093,2023-11-17 15:54:00.798000 UTC,8225,789,79,61,8907,6203.432842300308,6764,12122,27,7749
125,125,5SeVqkcNZMWTOcXVCIGnrHdL9OQ=,2023-08-10,properties/319751093,2023-11-17 15:54:14.172000 UTC,3330,415,72,64,4657,7600.107061280739,1713,3001,37,3150
126,126,JusMWZmTFg2zCg0VSmROcXTbAN4=,2023-09-10,properties/319751093,2023-11-17 15:54:09.383000 UTC,3550,625,122,68,5281,10425.598491913559,2391,5388,30,4169
127,127,r3nBk/2q5ooTIdZEeadgxBuRmEs=,2023-10-09,properties/319751093,2023-11-17 15:54:00.810000 UTC,2999,764,114,65,4811,9371.529873040448,2144,3705,38,4053
128,128,5OYdLeZl8MbhV4ppW35jRvkuEnY=,2023-09-26,properties/319751093,2023-11-17 15:54:00.854000 UTC,1692,497,18,69,2416,8498.381760944207,1514,3966,51,3364
129,129,oktdG7ijB7Q8Nrg2n4M8ATZzqDU=,2023-09-15,properties/319751093,2023-11-17 15:54:09.383000 UTC,3420,619,62,64,4305,7236.809006339034,2808,5353,43,3875
130,130,27cIZmNhzr7tMBW6hcpXHlExKq8=,2023-09-19,properties/319751093,2023-11-17 15:54:00.859000 UTC,2757,324,37,61,3789,6735.688014422602,1365,3017,37,2238
131,131,33J2uu9EiOduFTI/+Xgwt7RsRoI=,2023-09-25,properties/319751093,2023-11-17 15:54:00.805000 UTC,2941,754,45,68,5098,10449.594146949199,2100,4122,41,3432
132,132,dIArCzgxLQBTqboDX2LythImKuI=,2023-09-17,properties/319751093,2023-11-17 15:54:09.384000 UTC,5595,479,121,55,3903,5342.338735477161,1697,6453,53,3729
133,133,vU4vS+GQ2e94KP1u4eF2M8cs42Q=,2023-08-08,properties/319751093,2023-11-17 15:54:14.132000 UTC,4874,862,121,78,5248,7153.7565800784505,2162,3520,37,3072
134,134,q4CypFy+HrZ4/IyOgzA9D5LDPlk=,2023-10-01,properties/319751093,2023-11-17 15:54:00.804000 UTC,5413,673,94,57,4978,6361.501982947469,3181,6201,46,5302
135,135,96B9EG6lqi9p5o/5rfiGsVJThW0=,2023-08-09,properties/319751093,2023-11-17 15:54:14.125000 UTC,5180,853,133,64,4972,10417.412216463244,2303,6162,39,5005
136,136,HgjmtR68gASOnsgr25tLx4fw7Fk=,2023-08-13,properties/319751093,2023-11-17 15:54:14.130000 UTC,2126,796,45,121,4627,13615.01187979125,2299,4643,57,4262
137,137,dz/uysNTkM/1VYOEnzwMA4WD6GY=,2023-10-10,properties/319751093,2023-11-17 15:54:00.803000 UTC,4076,1540,82,159,5515,27233.418102767453,2176,5078,103,4499
138,138,wKK9EDtz5iUFHc0WsXl5OMleuOY=,2022-04-26,properties/311983201,2023-11-17 15:55:24.105000 UTC,6,0,0,0,4,0.0,5,10,0,5
139,139,PR2lkg3HXiEkBnH9WALPlVnNugY=,2022-04-27,properties/311983201,2023-11-17 15:55:22.282000 UTC,0,0,0,0,0,0.0,0,0,0,1
140,140,e0nLjODsV6imFLrLVFLAs/P5n9s=,2022-04-28,properties/311983201,2023-11-17 15:55:22.281000 UTC,6,0,0,0,9,0.0,4,7,0,3
141,141,9wBHoTH59LtKCTE39RQK1bdazto=,2022-04-29,properties/311983201,2023-11-17 15:55:22.282000 UTC,0,0,0,0,0,0.0,0,0,0,1
142,142,Ue0xGoPr7ozDv27qsNvjwyg/IpU=,2022-04-30,properties/311983201,2023-11-17 15:55:22.282000 UTC,1,0,0,0,0,0.0,0,0,0,0
143,143,TY4gAGOTQuRN8X5DQRlhYZ2+QCc=,2022-05-01,properties/311983201,2023-11-17 15:55:22.281000 UTC,3,0,0,0,4,0.0,3,6,0,7
